"rate","time"
"43361.9","2023-12-11 01:22:35.938+00"
"43368.22","2023-12-11 01:23:06.968+00"
"43344.34","2023-12-11 01:23:37.388+00"
"43361.63","2023-12-11 01:24:08.377+00"
"43360.15","2023-12-11 01:24:39.439+00"
"43354.84","2023-12-11 01:25:10.498+00"
"43342.98","2023-12-11 01:25:40.744+00"
"43329.73","2023-12-11 01:26:11.308+00"
"43374.95","2023-12-11 01:26:42.143+00"
"43368.4","2023-12-11 01:27:12.171+00"
"43344.9","2023-12-11 01:27:42.246+00"
"43327.53","2023-12-11 01:28:14.221+00"
"43324.17","2023-12-11 01:28:45.907+00"
"43345.7","2023-12-11 01:29:16.053+00"
"43350.1","2023-12-11 01:29:46.368+00"
"43325.29","2023-12-11 01:30:16.42+00"
"43311.96","2023-12-11 01:30:46.632+00"
"43311.64","2023-12-11 01:31:16.732+00"
"43329.22","2023-12-11 01:31:46.967+00"
"43335.55","2023-12-11 01:32:17.47+00"
"43337.79","2023-12-11 01:32:47.898+00"
"43369.5","2023-12-11 01:33:18.599+00"
"43338.34","2023-12-11 01:33:48.971+00"
"43334.67","2023-12-11 01:34:19.021+00"
"43325.7","2023-12-11 01:34:49.147+00"
"43335.4","2023-12-11 01:35:19.702+00"
"43302.43","2023-12-11 01:35:49.797+00"
"43304.84","2023-12-11 01:36:20.009+00"
"43295.84","2023-12-11 01:36:50.128+00"
"43299.18","2023-12-11 01:37:20.227+00"
"43300.14","2023-12-11 01:37:50.737+00"
"43327.1","2023-12-11 01:38:20.906+00"
"43333","2023-12-11 01:38:51.237+00"
"43320.67","2023-12-11 01:39:21.358+00"
"43356","2023-12-11 01:39:52.05+00"
"43315.75","2023-12-11 01:40:22.101+00"
"43318","2023-12-11 01:40:52.446+00"
"43276.99","2023-12-11 01:41:22.501+00"
"43253.76","2023-12-11 01:41:53.548+00"
"43290.44","2023-12-11 01:42:23.82+00"
"43267.48","2023-12-11 01:42:54.003+00"
"43254.31","2023-12-11 01:43:24.117+00"
"43231.13","2023-12-11 01:43:55.178+00"
"43270.31","2023-12-11 01:44:26.331+00"
"43268.76","2023-12-11 01:44:56.735+00"
"43284.04","2023-12-11 01:45:26.962+00"
"43298.98","2023-12-11 01:45:56.995+00"
"43283.95","2023-12-11 01:46:27.32+00"
"43279.84","2023-12-11 01:46:58.209+00"
"43269.19","2023-12-11 01:47:28.858+00"
"43278.5","2023-12-11 01:47:58.918+00"
"43280.5","2023-12-11 01:48:29.394+00"
"43270.15","2023-12-11 01:48:59.632+00"
"43282.48","2023-12-11 01:49:30.717+00"
"43283.85","2023-12-11 01:50:00.781+00"
"43299.51","2023-12-11 01:50:32.154+00"
"43310.75","2023-12-11 01:51:02.688+00"
"43320.04","2023-12-11 01:51:32.748+00"
"43322.01","2023-12-11 01:52:03.064+00"
"43337.71","2023-12-11 01:52:33.614+00"
"43333.36","2023-12-11 01:53:03.777+00"
"43344.94","2023-12-11 01:53:34.651+00"
"43364.34","2023-12-11 01:54:04.768+00"
"43346.05","2023-12-11 01:54:35.434+00"
"43348.51","2023-12-11 01:55:05.507+00"
"43355","2023-12-11 01:55:36.642+00"
"43321.21","2023-12-11 01:56:06.873+00"
"43304.4","2023-12-11 01:56:36.944+00"
"43300","2023-12-11 01:57:07.169+00"
"43270.96","2023-12-11 01:57:37.859+00"
"43273.29","2023-12-11 01:58:11.28+00"
"43279.33","2023-12-11 01:58:41.338+00"
"43264.56","2023-12-11 01:59:11.526+00"
"43233.44","2023-12-11 01:59:41.546+00"
"43210","2023-12-11 02:00:11.763+00"
"43188.9","2023-12-11 02:00:42.12+00"
"43218.84","2023-12-11 02:01:12.249+00"
"43220.96","2023-12-11 02:01:43.349+00"
"43231.28","2023-12-11 02:02:13.586+00"
"43193.36","2023-12-11 02:02:43.762+00"
"43159.3","2023-12-11 02:03:13.805+00"
"43151.15","2023-12-11 02:03:43.949+00"
"43152.8","2023-12-11 02:04:14.459+00"
"43084.43","2023-12-11 02:04:44.667+00"
"43071.46","2023-12-11 02:05:14.89+00"
"43074.55","2023-12-11 02:05:45.322+00"
"43064.82","2023-12-11 02:06:16.051+00"
"42988.48","2023-12-11 02:06:46.091+00"
"42567","2023-12-11 02:07:16.124+00"
"42617.05","2023-12-11 02:07:46.431+00"
"42659.6","2023-12-11 02:08:16.526+00"
"42726.77","2023-12-11 02:08:46.527+00"
"42741.41","2023-12-11 02:09:16.547+00"
"42736.44","2023-12-11 02:09:46.681+00"
"42639.1","2023-12-11 02:10:16.685+00"
"42629.82","2023-12-11 02:10:46.761+00"
"42650.34","2023-12-11 02:11:17.091+00"
"42500.77","2023-12-11 02:11:47.143+00"
"42154.52","2023-12-11 02:12:17.234+00"
"41977.28","2023-12-11 02:12:47.258+00"
"40496.55","2023-12-11 02:13:17.259+00"
"41232.98","2023-12-11 02:13:47.265+00"
"41488","2023-12-11 02:14:17.353+00"
"41618.08","2023-12-11 02:14:47.516+00"
"41741.33","2023-12-11 02:15:17.541+00"
"42027.82","2023-12-11 02:15:47.593+00"
"41867.63","2023-12-11 02:16:17.607+00"
"41789.88","2023-12-11 02:16:47.625+00"
"41772.4","2023-12-11 02:17:17.649+00"
"41759.04","2023-12-11 02:17:47.876+00"
